127.0.0.1 - - [31/May/2016:16:43:01 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:08 +0300] "GET /AutomaticAccessSystem/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:44 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:45 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 200 119892
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:45 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:45 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:54 +0300] "POST /AutomaticAccessSystem/j_spring_security_check;jsessionid=CF0E8E0ACBFC348C2BB64C1B75ADAF6F HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:55 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 9657
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:56 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 5566
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:56 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:56 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:56 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 200 84280
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:56 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 200 22879
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:56 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 200 16977
0:0:0:0:0:0:0:1 - - [31/May/2016:16:43:56 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 200 1092132
0:0:0:0:0:0:0:1 - - [31/May/2016:16:46:55 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 9657
0:0:0:0:0:0:0:1 - - [31/May/2016:16:46:55 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:16:46:55 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:16:46:56 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:16:46:56 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 5427
0:0:0:0:0:0:0:1 - - [31/May/2016:16:46:56 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:16:46:56 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
