0:0:0:0:0:0:0:1 - - [26/May/2016:10:12:13 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [26/May/2016:10:12:13 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:12:16 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1680
0:0:0:0:0:0:0:1 - - [26/May/2016:10:12:16 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:12:52 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [26/May/2016:10:12:53 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:12:54 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [26/May/2016:10:12:55 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:12:56 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1674
0:0:0:0:0:0:0:1 - - [26/May/2016:10:12:56 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:19:20 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1690
0:0:0:0:0:0:0:1 - - [26/May/2016:10:19:20 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:27:33 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1760
0:0:0:0:0:0:0:1 - - [26/May/2016:10:27:33 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:28:13 +0300] "POST /AutomaticAccessSystem/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:28:13 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [26/May/2016:10:28:18 +0300] "POST /AutomaticAccessSystem/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:28:18 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1824
0:0:0:0:0:0:0:1 - - [26/May/2016:10:28:35 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [26/May/2016:10:28:35 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:29:21 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [26/May/2016:10:29:21 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:29:34 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [26/May/2016:10:30:09 +0300] "POST /AutomaticAccessSystem/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:30:09 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1840
0:0:0:0:0:0:0:1 - - [26/May/2016:10:32:18 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1847
0:0:0:0:0:0:0:1 - - [26/May/2016:10:32:18 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2016:10:32:57 +0300] "GET /AutomaticAccessSystem/loginpage?error HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [26/May/2016:10:32:57 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
