127.0.0.1 - - [13/Jun/2016:11:28:33 +0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:28:37 +0300] "GET /AutomaticAccessSystem/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:29:41 +0300] "GET /AutomaticAccessSystem/returnHome HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:29:45 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:29:45 +0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:29:58 +0300] "GET /AutomaticAccessSystem/loginpage HTTP/1.1" 200 1818
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:29:58 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 200 119892
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:09 +0300] "POST /AutomaticAccessSystem/j_spring_security_check;jsessionid=F64DDEF1C6F698A0B0CDD2653EB9B357 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:13 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12821
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:13 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6264
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:13 +0300] "GET /AutomaticAccessSystem/resources/css/datepicker.css HTTP/1.1" 200 17433
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:13 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:14 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 200 22879
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:14 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:14 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 200 16977
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:14 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 200 84280
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:14 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 200 36868
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:14 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 200 1092132
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:30:15 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 200 4126
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12821
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6317
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/resources/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:01 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:02 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12821
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/resources/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:23 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:31:25 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12821
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/resources/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:01 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:02 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12821
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/resources/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6320
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:23 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:24 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:41 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12821
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6301
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/resources/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:34:42 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:06 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12821
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/resources/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6309
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:07 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12821
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/resources/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:11 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:12 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12821
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/resources/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6316
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:31 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:32 +0300] "GET /AutomaticAccessSystem/resources/images/profile.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:45 +0300] "GET /AutomaticAccessSystem/allStudents HTTP/1.1" 200 12821
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:46 +0300] "GET /AutomaticAccessSystem/webjars/bootstrap/3.0.0/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:46 +0300] "GET /AutomaticAccessSystem/resources/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:46 +0300] "GET /AutomaticAccessSystem/resources/css/turn_around.css HTTP/1.1" 200 6316
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:46 +0300] "GET /AutomaticAccessSystem/resources/css/datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:46 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:46 +0300] "GET /AutomaticAccessSystem/resources/angular-1.4.9/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:46 +0300] "GET /AutomaticAccessSystem/resources/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:46 +0300] "GET /AutomaticAccessSystem/resources/js/assassin.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:46 +0300] "GET /AutomaticAccessSystem/resources/sweetalert-master/dist/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Jun/2016:11:35:46 +0300] "GET /AutomaticAccessSystem/resources/bootstrap-3.3.6-dist/js/bootstrap.min.js HTTP/1.1" 304 -
